# id	left	top	right	bottom	texture_id
[SPRITES]
#####  BIG ###############
#IDLE
11121	216	154	229	181	50
11111	176	154	189	181	50

#WALKING RIGHT
11222	255	154	270	181	50
11223	295	155	310	180	50

112220	275	154	290	181	0
112230	304	154	321	181	0	

#WALKING LEFT
11212	135	154	150	181	50
11213	95	154	110	181	50

112120	155	154	170	181	0
112130	125	154	140	181	0

#RUNNING RIGHT
11321	213	234	234	261	50
11322	253	234	274	261	50
11323	292	235	313	261	50

113210	334	154	355	181	0
113220	334	154	355	181	0
113230	392	154	413	181	0

#RUNNING LEFT
11311	172	234	193	261	50
11312	134	234	155	261	50
11313	93	234	114	261	50

113110	91	154	112	181	0
113120	65	154	86	181	0
113130	34	154	55	181	0

#JUMP WALK RIGHT
11417	335	155	352	180	50
11413	55	155	72	182	50

114170	395	275	412	302	0
114130	35	275	52	302	0

#JUMP RUN RIGHT & LEFT
11427	332	275	351	300	50
11423	53	275	72	300	50

114270	394	195	413	222	0
114230	35	195	52	222	0

#SIT RIGHT & LEFT 
11511	15	159	30	176	50
11521	375	159	390	176	50

115210	426	239	441	256	0
115110	5	239	20	256	0

#BRACE RIGHT & LEFT 
11621	215	194	232	221	50
11611	175	194	192	221	50

116210	425	154	442	181	0
116110	5	154	22	181	0

#HOLD WALK RIGHT	
11727	371	234	395	260	50
11728	209	275	235	300	50

#HOLD WALK LEFT	
11721	10	234	35	260	50
11722	170	275	196	300	50

#HOLD IDLE RIGHT & LEFT
11711	330	234	354	260	50
11712	51	234	75	260	50

#DIE
13001	15	120	34	137	50
130010	215	120	234	137	0

#####  RACCOON ###############
#IDLE
14121	212	354	231	381	50
14111	173	354	192	381	50

#WALKING RIGHT
14222	262	354	283	381	50
14223	291	354	313	380	50

#WALKING LEFT
14212	122	354	143	381	50
14213	92	354	114	380	50

#RUNNING RIGHT
14321	211	434	234	461	50
14322	251	434	274	461	50
14323	291	434	314	460	50

#RUNNING LEFT
14311	171	434	194	461	50
14312	131	434	154	461	50
14313	91	434	114	460	50

#JUMP WALK RIGHT
14417	331	354	353	380	50
14413	52	354	74	380	50

#JUMP RUN RIGHT & LEFT
14427	371	514	394	540	50
14423	11	514	34	540	50

#SIT RIGHT & LEFT 
14511	12	359	33	376	50
14521	372	359	393	376	50

#BRACE RIGHT & LEFT 
14621	215	393	230	422	50
14611	175	393	190	422	50

#HOLD WALK RIGHT	
14717	366	434	398	461	50
14718	206	474	239	500	50

#HOLD WALK LEFT	
14711	7	434	39	461	50
14712	166	474	198	500	50

#HOLD IDLE RIGHT & LEFT
14721	327	434	358	461	50
14722	47	434	78	461	50

#FALL RIGHT & LEFT 
14810	211	514	233	540	50
14820	172	514	194	540	50

#HIT BEFORE & BEHIND & RIGHT & LEFT
14870	35	394	50	421	50
14860	0	394	15	421	50
